dataset,presence_mode,num_samples,presence_accuracy,iou_bbox_to_bbox,iou_bbox_to_mask,iou50_bbox,iou50_mask,num_predictions,timestamp
cholec_organs,all,200,0.9976190476190476,0.41104396434653445,0.18466597794538084,0.30071599045346065,0.00954653937947494,419,20250907_224831
cholec_organs,perfect,5,1.0,0.4061300998263889,0.18370930989583334,0.3333333333333333,0.0,15,20250907_224241
cholec_organs,perfect,200,1.0,0.41104396434653445,0.18466597794538084,0.30071599045346065,0.00954653937947494,419,20250907_224820
cholec_organs,random,200,0.5190476190476191,0.4360750400525633,0.19396340740807413,0.33640552995391704,0.013824884792626729,217,20250907_224842
cholecseg8k,all,200,0.42333333333333334,0.29483317178846496,0.16140341576155443,0.1968503937007874,0.16338582677165353,1016,20250907_224751
cholecseg8k,perfect,5,1.0,0.3356852556596409,0.20534250585480093,0.25,0.25,20,20250907_224136
cholecseg8k,perfect,5,1.0,0.3356852556596409,0.20534250585480093,0.25,0.25,20,20250907_224239
cholecseg8k,perfect,200,1.0,0.29483317178846496,0.16140341576155443,0.1968503937007874,0.16338582677165353,1016,20250907_224734
cholecseg8k,random,200,0.52,0.2900968845759493,0.157004060493784,0.1884328358208955,0.15671641791044777,536,20250907_224809
